|activity_type|actor|actor_device_id|actor_displayname|actor_id|actor_objecttype|actor_system|actor_team|actor_url|added_date|change value1|criticality|derivedfrom|description|descriptor-tags|endtime|excerpt|excerpttagsurl|id|idverb|location|object_actor|object_address|object_datafields|object_descriptor-tags|object_descriptor_tags|object_displayname|object_id|object_object|object_objecttype|object_position|object_provider|object_published|object_title|object_url|object_verb|provenance_actor|provenance_relationship|provider_displayname|published|reason|reasonobject_object|starttime|status|subverb|system|system_id|tags|tagsurl|target_displayname|target_id|target_objecttype|target_url|time|timestamp|title|titleexcerpttagsurl|titleexcerpttagsurladded_date|url|value|value1|value1_type|value2|value2_type|value3|value3_type|value4|value4_type|value5|value5_type|value_type|verb
0|||||||||||||||||||||||||||||||||||||||||||||||||||||||Thu 5 Mar 2015 07:41:51 GMT +0|||||||||||||||||
1|||||||||||||||||||||||||||||||||||||||||||||||||||||||Thu 5 Mar 2015 21:31:33 GMT +0|||||||||||||||||
2|pocket|||||||||March 05, 2015 at 01:45PM|||||||Shortly after ten-thirty in the morning on Wednesday, March 19th, a real-estate agent named Paul Alarab began hiking across the Golden Gate Bridge.||||||||||||||||||||||||||||||||http://ift.tt/1tvXAto||||||Thu 5 Mar 2015 21:45:23 GMT +0|Jumpers||||||||||||||||
3|pocket|||||||||March 05, 2015 at 02:03PM|||||||||||||||||||||||||||||||||||||||http://www.cnn.com/||||||Thu 5 Mar 2015 22:09:44 GMT +0|Breaking News, U.S., World, Weather, Entertainment amp; Video News - CNN.comexcerpt=Watch Live TV Breaking News Please select your default edition:InternationalU.S.Mexico U.S.||||||||||||||||
4|3Dpocket|||||||||3DMarch 05, 2015 at 02:36PM|||||||3DA federal judge has ruled that cops need to get a warrant if they want to access a person=E2=80=99s past cellphone location data, in what digital rights activists call a big win for privacy.|||||||||||||||||||||||||||||||3D|||||||Thu 5 Mar 2015 22:41:24 GMT +0|3DCops Need Warrant to Get Cellphone Location Data, California Judge Rules|||3Dhttp://ift.tt/1Fg1j0S|||||||||||||
5|3Dpocket|||||||||3DMarch 05, 2015 at 02:37PM|||||||3DWASHINGTON, D.C.=C2=A0=E2=80=93 Today, U.S. Rep.|||||||||||||||||||||||||||||||3D|||||||Thu 5 Mar 2015 22:41:25 GMT +0|3DMcCaul Statement on DNI Report on Recidivism of Former GTMO Detainees|||3Dhttp://ift.tt/1NmtUXZ|||||||||||||
6|pocket|||||||||March 05, 2015 at 02:37PM|||||||There has been a 1 percent increase in the number of former Guantanamo detainees who have quot;returned to the fight= quot; since July, according to a new recidivism report released Wednesday by the Office of the Director of National Intelligence (ODNI).tagsurl=http://ift.tt/1zPZyD1||||||||||||||||||||||||||||||||||||||Thu 5 Mar 2015 22:41:27 GMT +0|More Former Gitmo Detainees 'Return to the Fight,' and More Are Killed By the US||||||||||||||||
7|pocket|||||||||March 05, 2015 at 02:38PM|||||||A suit of armour made from paper sounds about as useful as a chocolate teapot, but it all depends on how you build it. tagsurl=http://ift.tt/1NmtXmE||||||||||||||||||||||||||||||||||||||Thu 5 Mar 2015 22:41:28 GMT +0|Origami doughnut squashes up to protect what's inside||||||||||||||||
8|3Dpocket|||||||||3DMarch 05, 2015 at 02:39PM|||||||3DTORONTO =E2=80=94 The person responsible for Toronto's much-discussed mystery tunnel has finally come forward.|||||||||||||||||||||||||||||||3D|||||||Thu 5 Mar 2015 22:41:29 GMT +0|3DToronto tunnel digger reveals identity, confirms it was a man cave|||3Dhttp://ift.tt/1Fg1lpp|||||||||||||
9|3Dpocket|||||||||3DMarch 05, 2015 at 02:40PM|||||||3DThe State Department has had a policy in place since 2005 to warn officials against routine use of personal e-mail accounts for government work, a regulation in force during Hillary Clinton=E2=80=99s tenure as secretary of state that appears to be at odds with her reliance on a private ema|||||||||||||||||||||||||||||||3D|||||||Thu 5 Mar 2015 22:41:32 GMT +0|3DState Department had 'clear-cut' rule on email before Hillary Clinton took office|||3Dhttp://ift.tt/1NmtXTq|||||||||||||
